id,name_zh,name_en,set_id,piece_index,total_pieces,rarity,description_zh,description_en,obtain_method,,
frag_001,凡草录残卷·壹,Common Herb Records - Page One,herb_book_common,1,3,common,写满了凝露草和打坐菇的笔记，字迹歪歪扭扭。,"Notes on Dew-Condensing Grass and Meditation Mushroom, scrawled in messy handwriting.",forest,,
frag_002,凡草录残卷·贰,Common Herb Records - Page Two,herb_book_common,2,3,common,第二页沾了点茶水，但勉强能看清。,"Page two has a tea stain, but it's mostly legible.",market,,
frag_003,凡草录残卷·叁,Common Herb Records - Page Three,herb_book_common,3,3,common,最后一页缺了角，应该是被谁啃过。,"The last page is missing a corner, looking suspiciously chewed on.",random_event,,
frag_004,灵草小记残页·一,Uncommon Herb Notes - Page One,herb_book_uncommon,1,4,uncommon,记录了几种稍微高级一点的灵草，字写得很潦草。,"Notes on slightly fancier herbs, written in a hurry.",forest,,
frag_005,灵草小记残页·二,Uncommon Herb Notes - Page Two,herb_book_uncommon,2,4,uncommon,提到了「歪掉的灵芝也能用」，附了个哭脸。,"Mentions that even crooked lingzhi still works, with a little sad face doodle.",adventure,,
frag_006,灵草小记残页·三,Uncommon Herb Notes - Page Three,herb_book_uncommon,3,4,uncommon,这一页全是采摘小贴士，看起来很用心。,A page full of harvesting tips. Surprisingly thorough.,random_event,,
frag_007,灵草小记残页·四,Uncommon Herb Notes - Page Four,herb_book_uncommon,4,4,uncommon,最后一页写着「待续」，但好像没有续了。,Ends with a note saying to be continued. It never was.,market,,
frag_008,异草残卷·甲,Rare Herb Fragments - Page One,herb_book_rare,1,4,rare,描述了几种稀有灵草，纸张已经发黄。,Describes several rare herbs. The paper has yellowed with age.,adventure,,
frag_009,异草残卷·乙,Rare Herb Fragments - Page Two,herb_book_rare,2,4,rare,提到雷劫余烬草要小心采摘，差点把作者烧了。,"Warns to handle Thunder Ember Grass carefully, since it nearly set the author on fire.",random_event,,
frag_010,异草残卷·丙,Rare Herb Fragments - Page Three,herb_book_rare,3,4,rare,这一页画了张地图，但画得很抽象。,This page has a map on it. A very abstract one.,adventure,,
frag_011,异草残卷·丁,Rare Herb Fragments - Page Four,herb_book_rare,4,4,rare,末页留了句话：找到的人记得分我一半。,Ends with a note asking whoever finds these to save half for the author.,special_event,,
frag_012,仙药秘典·上,Legendary Herb Sutra - Volume One,herb_book_legendary,1,3,legendary,封皮烫了金边，内容却只有一行字。,"Gilded cover, but the content is just one line long.",special_event,,
