ID,Chinese,English,Unlock
PET001,小狐狸,Little Fox,+10% Spirit Stones
PET002,灵龟,Spirit Turtle,+5 Lifespan
PET003,白鹤,White Crane,+10% Cultivation
PET004,黑猫,Black Cat,+5 Luck
PET005,青狼,Azure Wolf,+5% Breakthrough
PET006,金鱼,Golden Fish,+10% Wealth Events
PET007,火雀,Fire Sparrow,+10% Alchemy
PET008,雪狐,Snow Fox,+10% Exploration
PET009,灵兔,Spirit Rabbit,+5% Rare Events
PET010,玉鹿,Jade Deer,+10 Lifespan
PET011,雷鹰,Thunder Hawk,+10% Tribulation Success
PET012,竹熊,Bamboo Panda,+10 Happiness
PET013,玄蛇,Black Serpent,+10% Cultivation
PET014,金蟾,Golden Toad,+20% Spirit Stones
PET015,白虎,White Tiger,+15% Breakthrough
PET016,青龙,Azure Dragon,+20 Luck
PET017,凤凰,Phoenix,Revive Once
PET018,麒麟,Qilin,+15% All Stats
PET019,鲲鹏,Roc,+20% Exploration
PET020,九尾狐,Nine-Tailed Fox,+25 Luck
