event_id,event_type,weight,text_zh,text_en,reward_type,reward_value,min_realm,special_animation,biography_importance
cultivate_001,cultivate,10,看着云发了会呆却有所感悟,Stared at the clouds and somehow gained insight,qi,4,,,normal
cultivate_002,cultivate,10,打坐时数自己的呼吸数到睡着,Counted breaths while meditating and dozed off,none,0,,,normal
cultivate_003,cultivate,12,对着月亮吐纳了一整夜,Breathed with the moon all night long,qi,4,,,normal
cultivate_004,cultivate,8,盘腿坐到腿麻才肯起来,Sat cross-legged till both legs went numb,none,0,,,normal
cultivate_005,cultivate,8,感觉今天灵气格外清新,The spirit qi feels especially crisp today,none,0,,,normal
cultivate_006,cultivate,10,闭关三日只悟出一个字,Three days secluded for a single word of insight,qi,8,,,normal
cultivate_007,cultivate,10,把心经默念了一百遍,Recited the heart sutra a hundred times,none,0,,,normal
cultivate_008,cultivate,10,灵台清明仿佛通了一窍,Mind clear as if one channel opened,qi,4,,,normal
cultivate_009,cultivate,10,修炼到一半被肚子叫打断,Cultivation interrupted by a growling stomach,qi,6,,,normal
cultivate_010,cultivate,10,终于把那段口诀背熟了,Finally memorized that tricky mantra,none,0,,,normal
cultivate_011,cultivate,12,打坐时一只鸟落在头上,A bird landed on my head mid-meditation,none,0,,,normal
cultivate_012,cultivate,10,观想金丹结果想成了汤圆,Visualized a golden core but pictured a rice ball,none,0,,,normal
cultivate_013,cultivate,12,静心听了一下午的风声,Spent an afternoon listening to the wind,qi,4,,,normal
cultivate_014,cultivate,8,感觉经脉里有暖流缓缓流动,A warm current flows gently through my meridians,qi,8,,,normal
cultivate_015,cultivate,10,修炼笔记又写满了一页,Filled another page of cultivation notes,qi,6,,,normal
cultivate_016,cultivate,10,对着烛火参悟了半宿,Pondered by candlelight half the night,qi,4,,,normal
cultivate_017,cultivate,10,打坐入定连饭都忘了吃,Meditated so deep I forgot to eat,qi,4,,,normal
cultivate_018,cultivate,10,练气时打了个响亮的嗝,Let out a loud burp while gathering qi,qi,8,,,normal
cultivate_019,cultivate,10,感受着晨露中的灵气,Felt the spirit qi in the morning dew,qi,6,,,normal
cultivate_020,cultivate,10,把杂念一个个赶出脑海,Chased stray thoughts out one by one,none,0,,,normal
cultivate_021,cultivate,10,今日修为似乎涨了一点点,Cultivation seems up a tiny bit today,qi,4,,,normal
cultivate_022,cultivate,10,盘坐在溪边听水流悟道,Sat by the stream seeking the Dao in its flow,qi,5,,,normal
cultivate_023,cultivate,10,默运周天觉得通体舒畅,Circulated qi and felt wonderfully at ease,qi,6,,,normal
cultivate_024,cultivate,10,修炼时窗外下起了小雨,Light rain began outside as I cultivated,qi,4,,,normal
cultivate_025,cultivate,12,对着古卷研究到天亮,Studied the old scroll until dawn,qi,6,,,normal
cultivate_026,cultivate,10,灵气有点稀薄修得有点累,Qi feels thin today cultivation is tiring,none,0,,,normal
cultivate_027,cultivate,10,打坐时听见自己的心跳,Heard my own heartbeat in deep stillness,qi,6,,,normal
cultivate_028,cultivate,12,终于把那个动作做标准了,Finally got that posture exactly right,qi,8,,,normal
cultivate_029,cultivate,10,修炼之余给自己泡了壶茶,Brewed a pot of tea between sessions,none,0,,,normal
cultivate_030,cultivate,10,感觉离突破又近了一步,Feels one step closer to a breakthrough,none,0,,,normal
cultivate_031,cultivate,12,入定时梦见自己飞了起来,Dreamed of flying while in deep trance,qi,8,,,normal
cultivate_032,cultivate,10,把功法又从头梳理了一遍,Reviewed the whole technique from the start,none,0,,,normal
cultivate_033,cultivate,8,修炼一时爽一直修炼一直爽,Cultivating feels good so I just kept going,qi,4,,,normal
cultivate_034,cultivate,10,对着星空打坐到后半夜,Meditated under the stars past midnight,qi,5,,,normal
cultivate_035,cultivate,8,练功练得满头大汗,Worked up a full sweat in practice,qi,8,,,normal
cultivate_036,cultivate,12,灵识第一次模糊地感知到周围,Spirit sense vaguely felt its surroundings,none,0,,,normal
cultivate_037,cultivate,8,把丹田暖得像揣了个小火炉,Warmed my dantian like a tiny stove,qi,4,,,normal
cultivate_038,cultivate,10,修炼途中被路过的猫盯着看,A passing cat watched me cultivate,qi,6,,,normal
cultivate_039,cultivate,12,悟出一点道理高兴了半天,Grasped a small truth and grinned all day,none,0,,,normal
cultivate_040,cultivate,8,打坐时屁股坐疼了换了个姿势,Sore from sitting so I shifted position,none,0,,,normal
cultivate_041,cultivate,10,清晨第一缕阳光中吐纳,Breathed qi in the first light of dawn,stone,2,,,normal
cultivate_042,cultivate,10,修炼笔记被风吹乱了页,Wind scattered the pages of my notes,qi,4,,,normal
cultivate_043,cultivate,10,感觉自己的小宇宙在苏醒,Felt my little universe awakening,qi,5,,,normal
cultivate_044,cultivate,10,练气时不小心放了个屁,Accidentally farted while gathering qi,none,0,,,normal
cultivate_045,cultivate,10,把一颗石子看成了灵石,Mistook a pebble for a spirit stone,qi,4,,,normal
cultivate_046,cultivate,10,修炼到忘我连天黑都没发现,Lost track of time until it got dark,qi,4,,,normal
cultivate_047,cultivate,10,默念心法时口水流了出来,Drooled a little while reciting the method,qi,6,,,normal
cultivate_048,cultivate,8,感觉今天的自己特别有慧根,Feeling unusually gifted today,none,0,,,normal
cultivate_049,cultivate,12,打坐时蚊子在耳边嗡嗡叫,A mosquito buzzed by my ear mid-trance,none,0,,,normal
cultivate_050,cultivate,10,终于体会到一点点天人合一,Tasted a sliver of oneness with nature,qi,5,,,normal
cultivate_051,cultivate,10,修炼间隙发了会儿呆,Spaced out during a cultivation break,qi,5,,,normal
cultivate_052,cultivate,10,把内息引导得顺畅了许多,Guided my inner breath much more smoothly,qi,8,,,normal
cultivate_053,cultivate,10,对着瀑布练了一上午,Trained before the waterfall all morning,stone,1,,,normal
cultivate_054,cultivate,10,感觉经脉宽了那么一丝丝,Meridians feel a hair wider now,none,0,,,normal
cultivate_055,cultivate,12,修炼时回忆起小时候的事,Recalled childhood memories while meditating,none,0,,,normal
cultivate_056,cultivate,10,打坐时听见远处的钟声,Heard a distant bell while seated,none,0,,,normal
cultivate_057,cultivate,8,把一个错误的姿势纠正了,Corrected a long-standing wrong posture,none,0,,,normal
cultivate_058,cultivate,10,灵气运转时发出轻微的嗡鸣,A faint hum rose as qi circulated,qi,5,,,normal
cultivate_059,cultivate,8,修炼累了就靠着树打个盹,Napped against a tree after practice,none,0,,,normal
cultivate_060,cultivate,8,终于看懂了那幅修炼图,Finally understood that practice diagram,none,0,,,normal
cultivate_061,cultivate,10,修为停滞不前有点焦虑,A bit anxious as progress stalls,qi,4,,,normal
cultivate_062,cultivate,12,打坐时心如止水十分难得,A rare moment of perfect stillness,none,0,,,normal
cultivate_063,cultivate,10,练功时影子被拉得好长,My shadow stretched long during practice,none,0,,,normal
cultivate_064,cultivate,10,感觉手心冒出了一丝灵气,A wisp of qi rose from my palm,qi,8,,,normal
cultivate_065,cultivate,10,修炼笔记上画满了小人,Doodled little figures all over my notes,qi,8,,,normal
cultivate_066,cultivate,12,入定后感觉时间过得飞快,Time flew by once I entered trance,none,0,,,normal
cultivate_067,cultivate,12,把呼吸调得又慢又匀,Slowed my breathing to a steady rhythm,none,0,,,normal
cultivate_068,cultivate,8,修炼时被自己的肚子吓一跳,Startled by my own stomach growl,qi,4,,,normal
cultivate_069,cultivate,10,对着炉火参悟火属灵气,Pondered fire-attuned qi by the hearth,none,0,,,normal
