id,realm,chinese,english
1,凡人,丹田一暖，气血畅通，突破的喜悦溢于言表。,Warmth spread through the dantian as the qi flowed freely — the joy of breaking through was unmistakable.
2,凡人,浑身一震，多日的闷气一下子通畅了。,"The whole body shook, and days of stagnant breath suddenly cleared."
3,凡人,突破的瞬间，感觉浑身轻松了不少。,The instant of breakthrough left the whole body feeling remarkably lighter.
4,凡人,气息一转，浑身暖洋洋的，像是喝了一碗热汤。,"The qi shifted, leaving a warm glow all over, like drinking a bowl of hot soup."
5,凡人,突破成功，忍不住咧嘴笑了出来。,"The breakthrough succeeded, and a grin spread across the face unbidden."
6,凡人,丹田处传来一阵酥麻感，像是打通了什么。,"A tingling sensation spread through the dantian, as if something had finally opened up."
7,凡人,突破的那一刻，连呼吸都变得轻快起来。,"In that moment of breakthrough, even the breathing turned light and easy."
8,凡人,浑身的疲惫一扫而空，神清气爽。,"All the fatigue vanished in an instant, leaving the mind clear and refreshed."
9,凡人,气血翻涌后渐渐平息，境界悄然提升。,"The surging blood and qi gradually settled, and the realm quietly advanced."
10,凡人,突破的瞬间，仿佛吃了一顿饱饭般踏实。,The moment of breakthrough felt as solid and satisfying as a full meal.
11,凡人,丹田一震，多年的郁结终于散开了。,"The dantian shook once, and years of pent-up tension finally dissolved."
12,凡人,突破成功，连走路都觉得脚下生风。,"With the breakthrough complete, even walking felt light as the wind."
13,凡人,气息畅通，浑身像是卸下了一副重担。,"The qi flowed freely, as if a heavy burden had been lifted from the body."
14,凡人,突破的刹那，眼前竟有片刻的金光闪过。,"In the instant of breakthrough, a flicker of golden light briefly flashed before the eyes."
15,凡人,浑身暖流涌动，突破的滋味比想象中更甜。,Warm currents surged through the body — breakthrough felt sweeter than imagined.
16,凡人,丹田处的滞涩感消失了，呼吸也顺畅了。,"The stuffiness in the dantian vanished, and breathing came easy again."
17,凡人,突破成功，连日积累的疲惫感一并消散。,"The breakthrough succeeded, and days of accumulated fatigue dissolved along with it."
18,凡人,气血一震，仿佛打通了一条久堵的水渠。,"The blood and qi shook once, like unclogging a long-blocked irrigation channel."
19,凡人,突破的瞬间，浑身的毛孔都舒展开来。,"In the moment of breakthrough, every pore in the body seemed to open up."
20,凡人,丹田一阵充实感，像是吃饱了一顿好饭。,"A sense of fullness filled the dantian, like finishing a satisfying meal."
21,凡人,突破成功，连说话的声音都比平时洪亮。,"With the breakthrough done, even the voice came out louder than usual."
22,凡人,气息一转，浑身的乏力感一扫而空。,"The qi shifted, sweeping away all sense of weakness."
23,凡人,突破的刹那，心头莫名涌起一股踏实感。,"In that instant, an inexplicable sense of solidity rose in the chest."
24,凡人,丹田处传来轻微的震动，境界悄然突破。,A faint tremor passed through the dantian as the realm quietly broke through.
25,凡人,突破成功，浑身轻盈得像是能飞起来。,"With the breakthrough complete, the body felt light enough to fly."
26,武者,拳风一震，体内真气如江河奔流，畅快无比。,A burst of fist-wind shook the air as the true qi surged like a river — utterly exhilarating.
27,武者,突破的刹那，骨节发出一阵轻微的脆响。,"In the instant of breakthrough, the joints let out a faint, crisp crack."
28,武者,真气贯通全身，连指尖都泛起一丝劲力。,"True qi surged through the entire body, even the fingertips tingling with power."
29,武者,突破成功，一拳挥出竟带起一阵气劈山河之势。,"With the breakthrough done, a single punch carried a force that seemed to split mountains and rivers."
30,武者,体内劲力翻涌，犹如百川归海，气象一新。,The internal force surged like a hundred rivers flowing to the sea — an entirely new vista opened.
31,武者,突破的瞬间，浑身肌肉都绷紧又松开，畅快淋漓。,"In the moment of breakthrough, every muscle tensed then released — utterly satisfying."
32,武者,真气运转一周，体内仿佛多了一层铜墙铁壁。,A full circulation of true qi left the body feeling armored like an iron wall.
33,武者,突破成功，脚下踏地竟震出一圈尘土。,"With the breakthrough complete, a single stomp shook up a ring of dust."
34,武者,体内真气如猛虎出笼，浑身劲力暴涌。,"The true qi burst forth like a tiger from its cage, power surging through the whole body."
35,武者,突破的刹那，旧伤处竟也跟着舒展开来。,"In that instant, even the old injury seemed to loosen and ease."
36,武者,真气贯顶，浑身骨骼都发出细微的共鸣声。,"The true qi rushed to the crown, and every bone in the body hummed faintly in resonance."
