id,tier,chinese,english
1,common,灵根测定完毕，是最寻常的一种，却也踏实可靠。,"The root has been tested — the most common kind, but steady and dependable."
2,common,灵气在体内缓缓流转，平和而温润。,"The qi circulates slowly within, calm and gentle."
3,common,测定结果出来，虽不惹眼，但胜在根基扎实。,"The result is unremarkable at a glance, but its foundation runs deep."
4,common,灵根虽普通，丹田却涌起一股安稳的暖意。,"An ordinary root, yet the dantian fills with a quiet, steady warmth."
5,common,测定完毕，心中略有遗憾，但转念一想，平凡也好。,"A flicker of disappointment passes, then fades — perhaps ordinary suits just fine."
6,common,灵气波动平稳，没有惊喜，也没有失望。,"The qi fluctuates evenly — no surprise, no disappointment."
7,common,测定结果普通，却让人莫名松了一口气。,"An ordinary result, yet it brings an inexplicable sense of relief."
8,common,灵根扎根于丹田，朴实无华，却足够撑起修行之路。,"The root settles into the dantian, plain and unadorned, yet sturdy enough to carry the path ahead."
9,common,灵气流转间，竟生出一股踏实的归属感。,"As the qi circulates, an unexpected sense of belonging settles in."
10,common,测定完毕，平凡的灵根，平凡的开始。,The test concludes — an ordinary root for an ordinary beginning.
11,common,灵根虽不起眼，倒也省了不少烦心事。,"An unremarkable root, but at least it spares a fair share of troubles."
12,common,丹田内灵气稀疏却温和，像一杯温水般舒服。,"The qi in the dantian is sparse but mild, comfortable like a cup of warm water."
13,common,测定结果寻常，心里倒生出一种平静的踏实感。,"An ordinary result, yet it brings a calm, grounded sense of peace."
14,common,灵根普通，但好在没有什么古怪的副作用。,"An ordinary root, but at least there are no strange side effects."
15,common,灵气在经脉间缓缓铺开，不疾不徐。,"The qi spreads slowly through the meridians, unhurried and even."
16,common,测定完毕，普普通通，倒也少了几分压力。,"The test is done — perfectly ordinary, which somehow lifts a weight off the shoulders."
17,common,灵根落定，丹田传来一阵细微却持久的暖流。,"The root settles, and a faint but lasting warmth rises from the dantian."
18,common,测定结果一般，但修行的路还长，慢慢来便是。,"An average result, but the path of cultivation is long — slow and steady will do."
19,common,灵气虽不浓郁，却胜在源源不断。,"The qi may not be dense, but it flows steadily without end."
20,common,测定完毕，灵根普通，心中竟有些莫名的安心。,"The test concludes — an ordinary root, yet oddly it brings peace of mind."
21,common,灵根扎实，没有惊艳之处，却也没有短板。,"A solid root — nothing dazzling, but no weaknesses either."
22,common,丹田内灵气流转平和，像一条缓缓的小溪。,"The qi flows gently in the dantian, like a slow-moving stream."
23,common,测定结果寻常，倒让人多了几分平常心。,"An ordinary result, which somehow brings a more grounded state of mind."
24,common,灵根普通，但好在根基稳固，不怕风雨。,"An ordinary root, but its foundation is firm enough to weather any storm."
25,common,灵气测定完毕，结果平平，倒也心安。,"The qi test concludes — an unremarkable result, yet the heart feels at ease."
26,rare,灵气骤然炸裂般涌动，竟是稀有的灵根！,"The qi surges violently, almost explosively — a rare spiritual root!"
27,rare,丹田内雷光乍现，转瞬即逝，令人心惊。,"A flash of lightning flickers briefly within the dantian, startling and brief."
28,rare,测定结果出来的瞬间，浑身竟泛起一阵寒意，是冰灵根。,"The moment the result appears, a chill spreads through the body — an Ice Root."
29,rare,灵气如疾风般席卷全身，竟是难得一见的风灵根。,"The qi sweeps through the body like a gale — a rare Wind Root, seldom seen."
30,rare,测定完毕，丹田中竟传出隐约的雷鸣声。,"The test concludes, and a faint rumble of thunder echoes from the dantian."
31,rare,灵根测定的刹那，浑身一阵刺骨的寒意涌过。,"In the instant of testing, an icy chill sweeps through the entire body."
32,rare,丹田内风声呼啸，转瞬归于平静，灵根已然测定。,"A whistling wind roars within the dantian, then calms — the root has been determined."
33,rare,测定结果令人意外，竟是百年难遇的雷灵根。,"The result comes as a surprise — a Thunder Root, rare once in a hundred years."
34,rare,灵气测定时，浑身竟泛起一层细密的冰晶。,"During the test, a fine layer of frost crystals forms across the skin."
