event_id,Chinese,English,Type,Mood,Weight,Cultivation,SpiritStone,Lifespan,RealmMin,RealmMax,PersonalityRequired,,LuckImpact,EventTier,EventChain
EVT001,打坐时睡着了。,Fell asleep during meditation.,Daily,Sleepy,100,0,0,0,1,99,,,,,
EVT002,偷偷翘掉今天的修炼。,Skipped today's cultivation session.,Daily,Sleepy,80,0,0,0,1,99,,,,,
EVT003,认真修炼了一整天。,Trained diligently all day.,Cultivation,Meditate,80,10,0,0,1,99,,,,,
EVT004,在地上发现一块灵石。,Found a Spirit Stone on the ground.,Wealth,Happy,70,0,1,0,1,99,,,,,
EVT005,捡到别人掉落的丹药。,Found a dropped cultivation pill.,Pill,Happy,60,10,0,0,1,99,,,,,
EVT006,对着天空发呆半小时。,Stared at the sky for half an hour.,Daily,Normal,100,0,0,0,1,99,,,,,
EVT007,冥想时流口水。,Drooled during meditation.,Funny,Sleepy,80,0,0,0,1,99,,,,,
EVT008,梦见自己飞升了。,Dreamed about ascending.,Dream,Happy,50,5,0,0,1,99,,,,,
EVT009,醒来发现只是做梦。,Woke up and realized it was a dream.,Dream,Confused,50,0,0,0,1,99,,,,,
EVT010,决定今天开始努力。,Decided to work harder today.,Daily,Happy,80,5,0,0,1,99,,,,,
EVT011,炼丹炉炸了。,The alchemy furnace exploded.,Alchemy,Confused,40,-5,-1,0,1,99,,,,,
EVT012,炼丹炉又炸了。,The alchemy furnace exploded again.,Alchemy,Confused,30,-5,-1,0,1,99,,,,,
EVT013,炼丹炉第三次炸了。,The alchemy furnace exploded for the third time.,Alchemy,Confused,20,-10,-2,0,1,99,,,,,
EVT014,不小心把灵石当糖吃。,Mistook a Spirit Stone for candy.,Funny,Confused,15,-5,-1,0,1,99,,,,,
EVT015,试图教石头修仙。,Tried teaching a rock how to cultivate.,Funny,Happy,15,5,0,0,1,99,,,,,
EVT016,对蚂蚁讲道。,Gave a lecture to an ant.,Funny,Happy,20,5,0,0,1,99,,,,,
EVT017,被自己的影子吓到。,Got scared by his own shadow.,Funny,Confused,25,0,0,0,1,99,,,,,
EVT018,怀疑自己是天才。,Began believing he is a genius.,Personality,Happy,40,10,0,0,1,99,,,,,
EVT019,怀疑自己是废物。,Began doubting his talent.,Personality,Confused,40,-5,0,0,1,99,,,,,
EVT020,决定明天再修炼。,Decided to cultivate tomorrow instead.,Daily,Sleepy,80,0,0,0,1,99,,,,,
EVT021,找到2枚灵石。,Found 2 Spirit Stones.,Wealth,Happy,60,0,2,0,1,99,,,,,
EVT022,找到5枚灵石。,Found 5 Spirit Stones.,Wealth,Happy,30,0,5,0,1,99,,,,,
EVT023,丢失1枚灵石。,Lost a Spirit Stone.,Wealth,Confused,40,0,-1,0,1,99,,,,,
EVT024,灵石被老鼠偷走。,A mouse stole a Spirit Stone.,Wealth,Confused,15,0,-2,0,1,99,,,,,
EVT025,灵石藏在床底。,Hid Spirit Stones under the bed.,Wealth,Happy,20,0,1,0,1,99,,,,,
EVT026,忘记灵石放哪里。,Forgot where the Spirit Stones were hidden.,Wealth,Confused,30,0,-1,0,1,99,,,,,
EVT027,灵石意外增值。,Spirit Stones unexpectedly increased in value.,Wealth,Happy,10,0,3,0,1,99,,,,,
EVT028,灵石被骗子骗走。,Got scammed out of Spirit Stones.,Wealth,Confused,10,0,-3,0,1,99,,,,,
EVT029,挖出一袋灵石。,Dug up a bag of Spirit Stones.,Wealth,Happy,5,0,10,0,1,99,,,,,
EVT030,用灵石买零食。,Bought snacks with Spirit Stones.,Wealth,Happy,15,0,-2,0,1,99,,,,,
EVT031,修为增加。,Cultivation increased.,Cultivation,Meditate,100,10,0,0,1,99,,,,,
EVT032,顿悟成功。,Experienced enlightenment.,Cultivation,Happy,20,30,0,0,1,99,,,,,
EVT033,顿悟失败。,Failed to reach enlightenment.,Cultivation,Confused,30,-5,0,0,1,99,,,,,
