id,personality_tag,zh,en
nb_001,,隔壁老王说你今天看起来挺精神。,Old Wang next door said you looked lively today.
nb_002,reckless,村里都在传你又差点把自己炸了。,The village is buzzing about how you nearly blew yourself up again.
nb_003,lazy,邻居说好久没看见你出门修炼了。,A neighbor said it's been a while since they saw you training outside.
nb_004,diligent,大家都说你最近修炼得很勤快。,Everyone's saying how diligently you've been training lately.
nb_005,,没什么人注意到你，挺好的。,Nobody much noticed you today. Which is fine.
nb_006,cautious,邻居说你做事一向小心，值得信赖。,"A neighbor said you've always been careful — dependable, that one."
nb_007,greedy,有人开玩笑说你比商人还会算账。,Someone joked you're sharper with numbers than the local merchant.
nb_008,eccentric,村里小孩都说你是个怪人，但人挺好。,"The village kids call you odd, but say you're nice."
nb_009,,隔壁大婶夸你今天气色不错。,The auntie next door complimented your color today — looking healthy.
nb_010,,听说有人在背后议论你的修为长进。,Word is people have been talking behind your back about your progress.
nb_011,reckless,有人说你胆子是真的大，佩服佩服。,"Someone said your nerve is something else — impressive, honestly."
nb_012,lazy,村长说你要是再懒下去，怕是要被野兽吃了。,"The village chief said if you keep slacking, the beasts might just eat you."
nb_013,diligent,有人说像你这么用功的，村里少见。,Someone said cultivators as hardworking as you are rare around here.
nb_014,,今天没什么人提起你，安安静静的一天。,Nobody brought you up today. A quiet sort of day.
nb_015,cautious,邻居都说你做事稳，从不让人担心。,Neighbors all say you're steady — never give anyone reason to worry.
