id,tier,zh,en
feed_fr_01,凡人,吃饱了 修炼更有劲。,Full now — more energy to cultivate.
feed_fr_02,凡人,这顿饭顶三天辟谷。,This meal beats three days of fasting.
feed_fr_03,凡人,民以食为天 修仙也不例外。,Even cultivators must eat.
feed_fr_04,凡人,再饿下去就要走火入魔了。,Any hungrier and I'd go qi-deviant.
feed_fr_05,凡人,二狗一定没我吃得好。,Bet Ergou doesn't eat this well.
feed_fr_06,凡人,吃饱才有力气偷懒。,Gotta eat well to slack off properly.
feed_fr_07,凡人,灵气没多少 饭量倒不小。,Low on qi big on appetite.
feed_fr_08,凡人,这顿先不修炼 消化要紧。,No cultivating now — digesting first.
feed_wz_01,武者,大鱼大肉才扛得住练功。,Only meat and rice fuel real training.
feed_wz_02,武者,练武之人 一顿三碗饭。,A martial artist eats three bowls a meal.
feed_wz_03,武者,吃饱了去捶那木人桩。,Time to go pound the wooden dummy.
feed_wz_04,武者,这身肌肉都是饭喂出来的。,These muscles are fed by rice.
feed_wz_05,武者,师父说饿着肚子打不出真气。,Master says you can't punch qi on empty.
feed_wz_06,武者,补充体力 下午继续扎马步。,Refuel — more horse stance this afternoon.
feed_wz_07,武者,吃完这顿能扛半座矿。,After this I could haul half a mine.
feed_wz_08,武者,大碗喝酒大块吃肉才痛快。,Big bowls big meat — that's the life.
feed_xt_01,先天,服一枚聚气丹 五谷已是多余。,One qi pill and grain feels redundant.
feed_xt_02,先天,丹入腹中 灵气自生。,The pill dissolves and qi arises.
feed_xt_03,先天,凡间烟火 早已不入口了。,Mortal food no longer passes my lips.
feed_xt_04,先天,一粒丹药 抵得上一桌酒席。,One pill outvalues a whole banquet.
feed_xt_05,先天,辟谷多日 唯丹可餐。,Fasting for days — only pills will do.
feed_xt_06,先天,药力化开 周身经脉俱暖。,The pill's warmth spreads through my meridians.
feed_xt_07,先天,这丹火候差了些 凑合咽下。,The pill's a touch off but it'll do.
feed_xt_08,先天,以丹代食 方显修士本色。,Pills over rice — the mark of a true cultivator.
feed_lq_01,炼气,吞吐灵气 已近不食之境。,Drawing in qi — nearly beyond eating now.
feed_lq_02,炼气,一缕灵气入腹 胜过千钟粟。,A wisp of qi beats a thousand bushels of grain.
feed_lq_03,炼气,丹药于我 也不过点心罢了。,Even pills are mere snacks to me now.
feed_lq_04,炼气,辟谷已成 聊以丹药佐茶。,Past hunger now — a pill just goes with tea.
