id,realm,chinese,english
1,凡人,冲击境界时，隔壁邻居在吵架，分了心。,"Right at the critical moment, the neighbors next door started fighting, and it broke my focus."
2,凡人,突破到一半，闻到隔壁炖肉的味道，没扛住。,"Halfway through the breakthrough, I smelled stew next door and couldn't resist."
3,凡人,打坐时蚊子咬了一口，气息全乱了。,A mosquito bit me mid-meditation and scattered my qi completely.
4,凡人,突破时想起还没还邻居家的锄头，分神了。,"I remembered I still hadn't returned the neighbor's hoe, and it threw me off."
5,凡人,运气的关键时刻，肚子叫得太大声。,"At the critical moment, my stomach growled embarrassingly loud."
6,凡人,突破时坐姿不对，腿麻了，功亏一篑。,"Sat wrong during the breakthrough, my leg went numb, and the whole thing fell apart."
7,凡人,冲击境界时，村里的狗叫了一整夜。,The village dogs barked all night right during my breakthrough attempt.
8,凡人,突破一半，想起今天还没浇地，心一慌。,"Halfway through, I remembered I hadn't watered the fields yet and panicked."
9,凡人,打坐时，一只苍蝇在脸上飞来飞去。,A fly kept buzzing around my face during meditation.
10,凡人,关键时刻打了个嗝，气息瞬间散了。,Hiccuped at the critical moment and the qi scattered instantly.
11,凡人,突破时想起欠二狗的几个铜板，心神不宁。,Remembered I owed Ergou a few coins mid-breakthrough and couldn't settle my mind.
12,凡人,冲击境界时，屋顶突然漏雨，分神跑去接水。,The roof started leaking during the breakthrough and I had to scramble for a bucket.
13,凡人,打坐打到一半，腿被自家鸡啄了一口。,Got pecked on the leg by my own chicken mid-meditation.
14,凡人,突破时想着今晚吃什么，思绪飘走了。,Got distracted thinking about dinner during the breakthrough.
15,凡人,运转灵气时，邻居家小孩哭闹不停。,The neighbor's kid wouldn't stop crying while I was channeling qi.
16,凡人,冲击境界，突然想起忘了关院门，心一慌。,Suddenly remembered I forgot to close the gate and panicked mid-breakthrough.
17,凡人,打坐时坐在了蚂蚁窝上，浑身发痒。,Accidentally sat on an ant hill during meditation. Itched everywhere.
18,凡人,突破一半，村里集市的吆喝声太吵。,The market vendors' shouting was too loud halfway through the breakthrough.
19,凡人,运气时想起还欠房东半年的租，心乱了。,Remembered I owed six months of rent and lost focus.
20,凡人,冲击境界时，一阵风把帽子吹走了，下意识去追。,"A gust of wind blew my hat off mid-breakthrough, and I instinctively chased after it."
21,凡人,打坐打到一半，肚子里的午饭还没消化完，难受。,Lunch hadn't digested yet and my stomach was uncomfortable halfway through meditating.
22,凡人,突破时听见远处传来卖糖葫芦的吆喝，馋了。,Heard a candied-fruit vendor calling out in the distance and got distracted by hunger.
23,凡人,运转灵气，忽然打了个喷嚏，前功尽弃。,"Suddenly sneezed while channeling qi, and all the progress was lost."
24,凡人,冲击境界，邻居家的鸭子跑进了院子，乱了心神。,The neighbor's ducks wandered into the yard and broke my concentration.
25,凡人,打坐到一半，突然想起今天是娘的生辰，心头一软。,"Halfway through meditating, I remembered it was my mother's birthday, and my heart softened too much to focus."
26,武者,冲击境界时，旧伤突然发作，气血翻涌。,"An old injury suddenly flared up mid-breakthrough, and the blood and qi went haywire."
27,武者,突破一半，想起还没还师兄的拳谱，分神了。,"Halfway through, remembered I hadn't returned my senior brother's fist manual."
28,武者,运转内力时，肌肉突然抽筋，痛得龇牙。,"A muscle cramped up while channeling internal energy, painful enough to break focus."
29,武者,冲击境界，听见远处比武擂台传来喝彩，心思飘了。,Heard cheering from a distant sparring match and got distracted.
30,武者,打坐练气，旧伤口的疤又开始痒了。,An old scar started itching again during meditation.
31,武者,突破时，体内真气走岔了路，绕了远路。,"The true qi took a wrong turn inside the body, going the long way around."
32,武者,冲击境界，突然想起还没和对头清算上次的输赢。,Suddenly remembered an unsettled score with a rival mid-breakthrough.
33,武者,运转内力，手心的旧伤突然渗血，心神一颤。,"An old wound on the palm started bleeding again, rattling the nerves."
34,武者,打坐冲关，听见隔壁练武场传来兵器交击声，分神看了一眼。,"Heard the clash of weapons from the next training ground and glanced over, breaking focus."
35,武者,突破一半，体内真气逆行，差点走火入魔。,"The true qi reversed direction halfway through, nearly causing a deviation."
36,武者,冲击境界，想起教头还没教完那一招，心里着急。,"Remembered the instructor hadn't finished teaching that move yet, and grew anxious."
37,武者,运气时，肩上旧伤复发，疼得冷汗直冒。,"An old shoulder injury flared up, breaking into a cold sweat from the pain."
38,武者,打坐到关键处，听见远处擂鼓声，心神乱了。,"Heard war drums in the distance at the critical moment, scattering focus."
39,武者,冲击境界，体内两股真气打架，谁也不让谁。,"Two streams of true qi inside clashed with each other, neither yielding."
40,武者,突破时，想着明日要和师弟比试，心思飘远。,"Thought about tomorrow's sparring match with a junior, and the mind wandered."
41,武者,运转真气，旧伤的筋脉突然绷紧，痛感袭来。,"An old injury's tendons suddenly tightened, sending a wave of pain."
42,武者,冲击境界，听见有人在远处喊自己名字应战。,Heard someone in the distance calling out a challenge by name.
