Event_id,realm,Chinese,English,Mood,,,,,,,,,,
fanren_001,凡人,今天决定开始努力。,Today I decided to work hard.,normal,,,,,,,,,,
fanren_002,凡人,结果努力了五分钟。,It lasted five minutes.,sleepy,,,,,,,,,,
fanren_003,凡人,别人修仙靠天赋。,Others cultivate with talent.,normal,,,,,,,,,,
fanren_004,凡人,我修仙靠闹钟。,I cultivate with alarm clocks.,happy,,,,,,,,,,
fanren_005,凡人,村长说我骨骼清奇。,The village chief said I had great potential.,happy,,,,,,,,,,
fanren_006,凡人,后来发现是叫我搬米。,Turns out he wanted me to carry rice.,confused,,,,,,,,,,
fanren_007,凡人,今天只摸鱼五分钟。,I'll procrastinate for only five minutes today.,sleepy,,,,,,,,,,
fanren_008,凡人,等等，怎么天黑了？,"Wait, why is it already dark?",confused,,,,,,,,,,
fanren_009,凡人,听说修仙可以长生。,I heard cultivation grants immortality.,normal,,,,,,,,,,
fanren_010,凡人,那能先解决早八吗？,Can it solve early mornings first?,confused,,,,,,,,,,
fanren_011,凡人,今天劈了三十捆柴。,I chopped thirty bundles of wood today.,normal,,,,,,,,,,
fanren_012,凡人,感觉自己像人形伐木机。,I feel like a human logging machine.,happy,,,,,,,,,,
fanren_013,凡人,山上的仙人一定很厉害。,The immortals on the mountain must be amazing.,normal,,,,,,,,,,
fanren_014,凡人,至少不用挑水。,At least they don't carry water.,sleepy,,,,,,,,,,
fanren_015,凡人,我不是懒。,I'm not lazy.,normal,,,,,,,,,,
fanren_016,凡人,我是在积蓄力量。,I'm conserving energy.,happy,,,,,,,,,,
fanren_017,凡人,今天捡到一块奇怪石头。,Found a strange stone today.,confused,,,,,,,,,,
fanren_018,凡人,希望不是别人丢的。,Hope it wasn't someone else's.,confused,,,,,,,,,,
fanren_019,凡人,隔壁二狗又领先我了。,Er-Gou is ahead of me again.,normal,,,,,,,,,,
fanren_020,凡人,可恶，我也要努力。,"Darn it, I need to work harder.",happy,,,,,,,,,,
fanren_021,凡人,如果扫地算修炼。,If sweeping counts as cultivation.,normal,,,,,,,,,,
fanren_022,凡人,我已经快飞升了。,I'd be close to ascension.,happy,,,,,,,,,,
fanren_023,凡人,今天没奇遇。,No lucky encounter today.,sleepy,,,,,,,,,,
fanren_024,凡人,只有蚊子咬我。,Only mosquitoes noticed me.,confused,,,,,,,,,,
fanren_025,凡人,我梦见自己飞升了。,I dreamed I ascended.,happy,,,,,,,,,,
fanren_026,凡人,醒来发现掉下床。,Then I fell off the bed.,confused,,,,,,,,,,
fanren_027,凡人,修仙第一步。,First step of cultivation.,normal,,,,,,,,,,
fanren_028,凡人,先别饿死。,Don't starve.,normal,,,,,,,,,,
fanren_029,凡人,总有一天会变强。,One day I'll become strong.,happy,,,,,,,,,,
fanren_030,凡人,希望不是下辈子。,Hopefully not in my next life.,confused,,,,,,,,,,
wuzhe_001,武者,今天扎马步一个时辰。,Held a horse stance for an hour today.,normal,,,,,,,,,,
wuzhe_002,武者,腿已经不是自己的了。,My legs no longer belong to me.,confused,,,,,,,,,,
wuzhe_003,武者,师傅说拳要快。,Master says punches must be fast.,normal,,,,,,,,,,
wuzhe_004,武者,我先练抢饭速度。,I'm practicing food-grabbing speed first.,happy,,,,,,,,,,
wuzhe_005,武者,练武三年。,Three years of martial training.,normal,,,,,,,,,,
wuzhe_006,武者,终于打赢木人桩。,Finally defeated the wooden dummy.,happy,,,,,,,,,,
wuzhe_007,武者,虽然它不会动。,Even though it doesn't move.,confused,,,,,,,,,,
wuzhe_008,武者,今天被师兄揍了。,Got beaten by senior brother today.,confused,,,,,,,,,,
wuzhe_009,武者,收获很多经验。,Gained valuable experience.,normal,,,,,,,,,,
wuzhe_010,武者,也收获很多淤青。,And many bruises.,confused,,,,,,,,,,
wuzhe_011,武者,拳头越来越硬。,My fists are getting stronger.,happy,,,,,,,,,,
wuzhe_012,武者,钱包越来越瘦。,My wallet is getting thinner.,sleepy,,,,,,,,,,
wuzhe_013,武者,二狗突破了。,Er-Gou advanced again.,normal,,,,,,,,,,
wuzhe_014,武者,我打开了冰箱。,I opened the fridge.,sleepy,,,,,,,,,,
wuzhe_015,武者,别人燃烧气血。,Others burn vital energy.,normal,,,,,,,,,,
wuzhe_016,武者,我燃烧卡路里。,I burn calories.,happy,,,,,,,,,,
wuzhe_017,武者,今天跑山十公里。,Ran ten kilometers in the mountains.,normal,,,,,,,,,,
wuzhe_018,武者,被野猪追的。,Because a boar chased me.,confused,,,,,,,,,,
wuzhe_019,武者,师傅说我有进步。,Master said I've improved.,happy,,,,,,,,,,
wuzhe_020,武者,终于不是反话了。,For once it wasn't sarcasm.,happy,,,,,,,,,,
wuzhe_021,武者,我感觉到一丝气感。,I sensed a trace of qi.,normal,,,,,,,,,,
wuzhe_022,武者,也可能是胃胀气。,Could also be indigestion.,confused,,,,,,,,,,
wuzhe_023,武者,今天没有偷懒。,I didn't slack off today.,happy,,,,,,,,,,
wuzhe_024,武者,只是休息比较久。,I just rested longer.,sleepy,,,,,,,,,,
wuzhe_025,武者,武道之路很漫长。,The martial path is long.,normal,,,,,,,,,,
wuzhe_026,武者,幸好有午饭。,Luckily there's lunch.,happy,,,,,,,,,,
wuzhe_027,武者,距离先天越来越近。,I'm getting closer to Xiantian.,normal,,,,,,,,,,
wuzhe_028,武者,距离发工资越来越远。,And farther from payday.,confused,,,,,,,,,,
wuzhe_029,武者,今天继续练拳。,Training punches again today.,normal,,,,,,,,,,
wuzhe_030,武者,总会轮到我突破。,My breakthrough will come.,happy,,,,,,,,,,
xiantian_001,先天,今天感受到天地灵气。,Today I sensed the qi of heaven and earth.,happy,,,,,,,,,,
xiantian_002,先天,后来发现是火锅香味。,Turns out it was hotpot aroma.,confused,,,,,,,,,,
xiantian_003,先天,闭关三天。,I secluded myself for three days.,normal,,,,,,,,,,
xiantian_004,先天,出来忘记密码。,Came out and forgot my password.,confused,,,,,,,,,,
xiantian_005,先天,天地大道三千。,There are three thousand great daos.,normal,,,,,,,,,,
xiantian_006,先天,我只会干饭一道。,I only mastered eating.,happy,,,,,,,,,,
xiantian_007,先天,今天吐纳很顺利。,Today's breathing cultivation went smoothly.,happy,,,,,,,,,,
xiantian_008,先天,没有吸进蚊子。,Didn't inhale a mosquito.,happy,,,,,,,,,,
xiantian_009,先天,灵气进入体内。,Qi entered my body.,normal,,,,,,,,,,
xiantian_010,先天,终于不是冷风了。,Finally not just cold air.,happy,,,,,,,,,,
xiantian_011,先天,我开始理解修仙。,I'm beginning to understand cultivation.,normal,,,,,,,,,,
xiantian_012,先天,但还不理解税务。,But still not taxes.,confused,,,,,,,,,,
xiantian_013,先天,今天听风悟道。,I listened to the wind and contemplated the Dao.,normal,,,,,,,,,,
xiantian_014,先天,风说该睡觉了。,The wind said go sleep.,sleepy,,,,,,,,,,
xiantian_015,先天,感觉快突破了。,I feel close to a breakthrough.,happy,,,,,,,,,,
xiantian_016,先天,结果只是腿麻。,It was just a numb leg.,confused,,,,,,,,,,
xiantian_017,先天,连接天地服务器中。,Connecting to Heaven Server.,normal,,,,,,,,,,
xiantian_018,先天,请稍候...,Please wait...,normal,,,,,,,,,,
xiantian_019,先天,大道正在加载。,The Great Dao is loading.,normal,,,,,,,,,,
xiantian_020,先天,网络似乎不太好。,The connection seems weak.,confused,,,,,,,,,,
xiantian_021,先天,灵气越来越清晰。,The qi is becoming clearer.,happy,,,,,,,,,,
xiantian_022,先天,二狗还是比我快。,Er-Gou is still faster.,confused,,,,,,,,,,
xiantian_023,先天,今天没有杂念。,No distracting thoughts today.,happy,,,,,,,,,,
xiantian_024,先天,除了晚餐吃什么。,Except what to eat later.,confused,,,,,,,,,,
xiantian_025,先天,修仙其实很简单。,Cultivation is actually simple.,normal,,,,,,,,,,
xiantian_026,先天,坚持最难。,Consistency is the hard part.,normal,,,,,,,,,,
xiantian_027,先天,炼气之门就在前方。,The Qi Refining gate is ahead.,happy,,,,,,,,,,
xiantian_028,先天,我已经闻到丹药味了。,I can already smell the pills.,happy,,,,,,,,,,
xiantian_029,先天,今天继续努力。,I'll keep working hard today.,normal,,,,,,,,,,
xiantian_030,先天,真的，不是说明天。,Really. Not tomorrow.,happy,,,,,,,,,,
self_001,,这是我第几次轮回了？,Which life is this again?,confused,,,,,,,,,,
self_002,,每次死掉都会回来。,I keep coming back after dying.,confused,,,,,,,,,,
self_003,,这合理吗？,Is that even normal?,confused,,,,,,,,,,
self_004,,我开始觉得哪里不对。,Something feels off lately.,confused,,,,,,,,,,
self_005,,总感觉有人在看着我。,I keep feeling like someone's watching.,confused,,,,,,,,,,
self_006,,轮回这件事，越想越奇怪。,"The more I think about reincarnation, the weirder it gets.",meditate,,,,,,,,,,
self_007,,如果我死了又活，那死亡算什么？,"If I die and come back, what does dying even mean?",meditate,,,,,,,,,,
self_008,,我好像活了很多次，但记忆都很模糊。,"I think I've lived many times, but the memories are blurry.",confused,,,,,,,,,,
self_009,,每一世都差不多，是我太废，还是世界太懒？,"Every life feels the same — am I the problem, or is the world?",confused,,,,,,,,,,
self_010,,转世这种事，应该写进简历里吗？,Should I put 'reincarnated' on my résumé?,normal,,,,,,,,,,
self_011,,我死过的次数比我活过的次数还清楚。,I remember dying more clearly than living.,confused,,,,,,,,,,
self_012,,如果轮回是真的，那寿元算什么？退款额度？,"If reincarnation is real, is lifespan just a refund quota?",confused,,,,,,,,,,
self_013,,转世前要不要先填个意见反馈表？,Should I fill out a feedback form before reincarnating?,normal,,,,,,,,,,
self_014,,我怀疑天道也在摸鱼。,I suspect even heaven's will is slacking off.,confused,,,,,,,,,,
self_015,,每次轮回，剧情都差不多，是不是该换个编剧了。,Every life follows the same plot — maybe it's time for a new writer.,confused,,,,,,,,,,
self_016,,死了又活，活了又死，这是修仙还是循环播放？,"Die, live, die, live — is this cultivation or just a loop?",confused,,,,,,,,,,
self_017,,我开始怀疑，轮回是不是一种性价比很低的服务。,I'm starting to think reincarnation has terrible value for money.,confused,,,,,,,,,,
self_018,,如果每一世都要重新学走路，那也太亏了。,"If I have to relearn walking every life, that's a real loss.",normal,,,,,,,,,,
self_019,,轮回次数多了，连天道是不是都认得我了。,"I've reincarnated so many times, heaven probably recognizes me by now.",confused,,,,,,,,,,
self_020,,据说轮回是为了历练，但我感觉更像是重考。,"They say reincarnation is for growth, but it feels more like a retake exam.",confused,,,,,,,,,,
self_021,,我怀疑自己是不是被卡在了某个循环里。,I suspect I might be stuck in some kind of loop.,confused,,,,,,,,,,
self_022,,每次转世我都告诉自己，这次不一样，结果还是一样。,Every life I tell myself it'll be different. It never is.,confused,,,,,,,,,,
self_023,,轮回这么多次，我连墓志铭都想好几个版本了。,I've reincarnated so much I've drafted several versions of my epitaph.,normal,,,,,,,,,,
self_024,,天道：你又来了。我：是啊，烦死了。,"Heaven: you again. Me: yeah, exhausting, isn't it.",confused,,,,,,,,,,
self_025,,活着的时候没想明白，死了一次也没想明白。,Didn't figure it out while alive. Didn't figure it out after dying either.,meditate,,,,,,,,,,
self_026,,我怀疑轮回系统有bug，但没人受理。,"I suspect the reincarnation system has a bug, but no one's fixing it.",confused,,,,,,,,,,
self_027,,如果转世是续费，那我这账户是不是该升级了。,"If reincarnation is a renewal, shouldn't my account get an upgrade by now?",normal,,,,,,,,,,
self_028,,每次死后醍醒，第一反应都是：又来了。,"Every time I wake up after dying, my first thought is: here we go again.",confused,,,,,,,,,,
self_029,,轮回久了，连死亡都开始觉得很日常。,"After enough reincarnations, even death starts to feel routine.",confused,,,,,,,,,,
self_030,,我怀疑天道把我设成了循环任务。,I suspect heaven's will set me as a recurring task.,confused,,,,,,,,,,
self_031,,这一世的剧本，怎么感觉和上一世一样。,This life's script feels exactly like the last one.,confused,,,,,,,,,,
self_032,,轮回次数一多，连命运都开始懒得换花样。,"After enough loops, even fate stops bothering to change things up.",confused,,,,,,,,,,
self_033,,如果寿命用完是重启，那我应该算第几个存档。,"If running out of lifespan is a restart, which save file am I on now?",normal,,,,,,,,,,
self_034,,我怀疑自己其实只是天道的一个测试账号。,I suspect I might just be heaven's test account.,confused,,,,,,,,,,
self_035,,转世这么多次，连灵魂都该有职业倦怠了。,"After this many reincarnations, even my soul should have burnout.",confused,,,,,,,,,,
