ID,Chinese,English,Unlock
TIT001,平平无奇的修仙者,Utterly Ordinary Cultivator,Default title / no special condition
TIT002,初入修途,First Step on the Path,First successful breakthrough
TIT003,武道新丁,Martial Newcomer,Reach Martial tier for the first time
TIT004,先天小成,Innate Adept,Reach Innate tier for the first time
TIT005,炼气入门,Qi Refining Initiate,Reach Qi Refining tier for the first time
TIT006,厚积薄发,Patient Breakthrough,Succeed after accumulating breakthrough insight
TIT007,天纵奇才,Natural-Born Genius,Multiple successful breakthroughs with few or no failures
TIT008,屡败屡战,Fails Forward,Fail breakthroughs several times in one life
TIT009,天道退货中,Rejected by Heaven,Fail breakthroughs many times in one life
TIT010,道心还没碎,Unbroken Dao Heart,Survive repeated failures and keep cultivating
TIT011,摸鱼学徒,Slacking Apprentice,Trigger lazy / idle events several times
TIT012,咸鱼真人,Salted Fish Sage,Stay idle or slack off many times
TIT013,摸鱼大仙,Slacking Immortal,Very high poke / idle / lazy behavior
TIT014,睡梦修士,Dreaming Cultivator,Trigger sleep events several times
TIT015,一觉悟道,Enlightened by Napping,Sleep often but still make progress
TIT016,勤修小卷王,Tiny Grind King,Trigger cultivate events many times
TIT017,桌面苦修士,Desktop Ascetic,Long cultivation time / many cultivate events
TIT018,灵石小能手,Stone Gatherer,Collect a moderate amount of spirit stones
TIT019,灵石猎人,Spirit Stone Hunter,Collect many spirit stones
TIT020,口袋空空,Pocket Empty,Spend or lose spirit stones until nearly broke
TIT021,丹药试吃员,Pill Tester,Consume several pills
TIT022,炼丹常客,Alchemy Regular,Trigger alchemy / pill events many times
TIT023,嗑丹狂魔,Pill-Popping Maniac,Consume many pills in one life
TIT024,丹毒缠身,Pill Poisoned,Die from pill overdose or suffer pill side effects
TIT025,奇遇初见,First Encounter,Discover the first rare encounter
TIT026,机缘不断,Fortune's Favorite,Discover many rare encounters
TIT027,传说目击者,Legend Witness,Discover the first legendary encounter
TIT028,传说收藏家,Legend Collector,Discover multiple legendary encounters
TIT029,十种死法,Ten Ways to Die,Discover 10 different death causes
TIT030,花样作死,Creative Demise,Discover many different death causes
TIT031,初次陨落,First Death,Die for the first time
TIT032,鹅口亡魂,Goosed,Die from a goose-related death cause
TIT033,雷劫受害者,Tribulation Victim,Die from thunder / tribulation
TIT034,炉边危险人物,Furnace Hazard,Die from furnace explosion or alchemy accident
TIT035,轮回初体验,Round Two,Reincarnate for the first time
TIT036,轮回老手,Cycle Veteran,Reincarnate 5 times
TIT037,十世修士,Ten-Lifetime Cultivator,Reincarnate 10 times
TIT038,百世轮回者,Hundred Lives Deep,Reincarnate 100 times
TIT039,长寿但没飞升,"Long-Lived, Not Ascended",Reach very high age without reaching the final tier
TIT040,飞升候补,Ascension Candidate,Reach the highest demo realm
