ID,TextZh,TextEn
intro_first_001,修仙并不容易。\n有人天生天灵根。\n有人出生在仙门。\n而{name}拥有：\n一件黑色卫衣。\n和一颗不想上班的心。,Cultivation isn't easy.\nSome are born with heavenly roots.\nSome are born into great sects.\nAnd {name} has:\none black hoodie.\nand a heart that doesn't want to go to work.
intro_first_002,今年16岁。\n修为：0。\n灵石：0。\n梦想：飞升成仙。\n现实：先活过今天。,Sixteen years old.\nCultivation: 0.\nSpirit stones: 0.\nDream: ascend to immortality.\nReality: survive today first.
intro_first_003,没人知道未来会发生什么。\n也许明天突破。\n也许明天被鹅追杀。,Nobody knows what tomorrow brings.\nMaybe a breakthrough.\nMaybe being chased by a goose.
intro_first_004,天道无情。\n命运难测。\n但总得试试看。,Heaven is merciless.\nFate is unpredictable.\nBut you still have to try.
intro_first_005,修仙路上最不缺天才。\n最缺的。\n是坚持。\n以及不要半路睡着。,The cultivation world has plenty of geniuses.\nWhat it lacks is persistence.\nAnd people who don't nap halfway.
intro_first_006,成为仙人很难。\n成为废物却很简单。\n{name}决定先走中间路线。,Becoming immortal is hard.\nBecoming useless is easy.\n{name} chooses the middle path for now.
intro_first_007,故事开始了。\n至于结局。\n连天道都还没写完。,"The story begins.\nAs for the ending,\neven heaven hasn't finished writing it."
intro_first_008,命运给{name}发了张牌。\n牌面是：\n引气一层，零修为，一身轻松。,"Fate dealt {name} a hand.\nThe cards say:\nQi Drawing I, zero cultivation, no burden at all."
intro_first_009,有人修仙是为了长生。\n{name}修仙是为了不上班。\n目标也算明确。,Some cultivate for immortality.\n{name} cultivates to avoid work.\nAt least the goal is clear.
intro_first_010,据说每个人都有自己的道。\n{name}的道。\n暂时还在找。,They say everyone has their own Dao.\n{name}'s Dao is currently missing.\nSearch in progress.
intro_first_011,天地不仁。\n以万物为刍狗。\n{name}表示理解，但有点慌。,Heaven and earth are impartial.\n{name} understands.\n{name} is also slightly panicking.
intro_first_012,传说每个废柴修士。\n都有觉醒的那一天。\n传说还在继续验证。,Legend says every hopeless cultivator awakens one day.\nThe legend is still under testing.
intro_first_013,{name}的修仙之路。\n从一无所有开始。\n也算公平。,{name}'s cultivation journey begins with nothing.\nFair enough.
intro_first_014,有些人生来注定非凡。\n{name}生来注定先试试看。,Some are born extraordinary.\n{name} was born to give it a try first.
intro_first_015,{name}抬头看了看天。\n天没说话。\n修仙，就这么开始了。,{name} looked up at the sky.\nThe sky said nothing.\nAnd so cultivation began.
intro_first_016,修仙第一步：起名。\n修仙第二步：还没想好。,Step one of cultivation: get a name.\nStep two: still under consideration.
intro_first_017,据说修仙需要悟性。\n{name}的悟性还在路上。\n大概在堵车。,Cultivation requires insight.\n{name}'s insight is on the way.\nProbably stuck in traffic.
intro_first_018,{name}的灵根检测结果：普通。\n但精神状态：异常昂扬。,{name}'s root test result: ordinary.\nMental state: suspiciously enthusiastic.
intro_first_019,修仙最忌三天打鱼两天晒网。\n{name}记下了。\n但不保证会改。,Cultivation dislikes inconsistent effort.\n{name} wrote that down.\nNo promise to change.
intro_first_020,{name}今天的修炼计划：\n先睡一觉。\n起来再说。,{name}'s training plan today:\nnap first.\nDiscuss after waking up.
intro_first_021,有人说吃得苦中苦，方为人上人。\n{name}决定先吃饭。\n苦的事以后再说。,They say hardship makes greatness.\n{name} chooses food first.\nHardship can wait.
intro_first_022,修仙不是一蹴而就的。\n是要一蹴。\n再蹴。\n再蹴很多次。,"Cultivation isn't done in one step.\nIt takes one step,\nthen another,\nthen far too many."
intro_first_023,{name}的人生信条：\n修炼要努力。\n摆烂也不能落后。,"{name}'s life motto:\ntrain hard,\nbut never fall behind in slacking either."
