id,name_zh,name_en,required_fragments,reward_type,reward_value,description_zh,description_en,,,,
herb_book_common,凡草录,Common Herb Records,frag_001|frag_002|frag_003,herb_find_bonus,0.03,收集凡人草药的基础典籍，集齐后找草药顺手一点。,A basic compendium of common herbs. Completing it makes herb-finding slightly easier.,,,,
herb_book_uncommon,灵草小记,Uncommon Herb Notes,frag_004|frag_005|frag_006|frag_007,herb_find_bonus,0.05,记录了进阶灵草的小笔记，集齐后采药运气更好一点。,Notes on intermediate herbs. Completing it slightly improves herb luck.,,,,
herb_book_rare,异草残卷,Rare Herb Fragments,frag_008|frag_009|frag_010|frag_011,herb_find_bonus,0.08,稀有草药的残卷记录，集齐后能更容易碰到稀有药材。,Fragmented records of rare herbs. Completing it boosts rare herb encounters.,,,,
herb_book_legendary,仙药秘典,Legendary Herb Sutra,frag_012|frag_013|frag_014,pill_success_bonus,0.05,传说级药材秘典，集齐后炼丹成功率小幅提升。,A legendary herb sutra. Completing it slightly boosts alchemy success rate.,,,,
alchemy_guide_01,炼丹不炸炉入门,Alchemy Without Blowing Up the Furnace 101,frag_015|frag_016|frag_017,pill_success_bonus,0.05,炼丹新手教材，集齐后炉子好像真的不那么容易炸了。,A beginner alchemy manual. Completing it really does seem to reduce furnace explosions.,,,,
thunder_guide_01,雷劫避坑指南,Lightning Tribulation Pitfall Guide,frag_018|frag_019|frag_020,breakthrough_bonus,0.05,渡雷劫的实用指南，集齐后突破时心里更有底。,A practical guide to surviving lightning tribulations. Completing it gives more confidence during breakthroughs.,,,,
slacking_notes_01,摸鱼修炼心得,Slacking-Off Cultivation Notes,frag_021|frag_022|frag_023|frag_024,offline_bonus,0.05,一本关于如何边摸鱼边修炼的心得，集齐后离线收益小幅提升。,Notes on cultivating while slacking off. Completing it slightly boosts offline gains.,,,,
mortal_ascend_01,凡人也想成仙手册,Mortals Also Want to Ascend Handbook,frag_025|frag_026|frag_027,exp_bonus,0.05,写给普通人的成仙入门手册，集齐后修为涨得快一点。,An ascension primer for ordinary folks. Completing it slightly speeds up exp gain.,,,,
newbie_survival_01,小白生存手册,Newbie Survival Handbook,frag_028|frag_029|frag_030|frag_031,luck_bonus,0.03,教新人怎么活下去的手册，集齐后运气稍微好一点。,A survival manual for newcomers. Completing it slightly improves luck.,,,,
cultivator_diary_01,打工人修仙日记,Working Stiff's Cultivation Diary,frag_032|frag_033|frag_034,funny_title,title_overtime_immortal,一位打工人修士的日常日记，集齐后解锁专属称号「摸鱼真仙」。,A working cultivator's daily diary. Completing it unlocks the title Slacker Immortal.,,,,
reincarnation_tips_01,转世小贴士,Reincarnation Tips,frag_035|frag_036|frag_037,luck_bonus,0.05,关于转世的小道消息，集齐后下一世运气好像真的会变好。,Rumors and tips about reincarnation. Completing it does seem to improve next-life luck.,,,,
breakthrough_notes_01,突破玄学笔记,Breakthrough Superstition Notes,frag_038|frag_039|frag_040,breakthrough_bonus,0.08,一本关于突破玄学的笔记，没有科学依据，但集齐后突破成功率确实涨了。,"A notebook of breakthrough superstitions. No scientific basis, but completing it does raise the success rate.",,,,
