id,pill_id,pill_name_zh,pill_name_en,required_herbs,required_stones,success_rate,effect_type,effect_value,side_effect_chance,description_zh,description_en
recipe_001,pill_001,回气丹,Qi Recovery Pill,herb_002:2,5,0.90,exp,8,0.05,打坐菇压成的小丹，吃了犯困但确实涨修为。,Made from Meditation Mushroom. Makes you drowsy but does boost exp.
recipe_002,pill_002,灵气丸,Spirit Qi Pellet,herb_004:2|herb_007:1,8,0.85,exp,15,0.08,灵气萝卜炖出来的丹，闻起来像萝卜汤。,Brewed from Spirit Radish. Smells suspiciously like radish soup.
recipe_003,pill_003,强基丹,Foundation Boost Pill,herb_017:2|herb_020:1,15,0.80,exp,25,0.10,给武者补修为的丹药，吃多了会觉得自己很猛。,Boosts exp for Warriors. Overeating causes false confidence.
recipe_004,pill_004,玄气丹,Mystic Qi Pill,herb_030:2|herb_033:1,25,0.75,exp,40,0.12,先天期常用涨修为丹，配方稳定不容易炸炉。,A reliable Innate-stage exp pill. Rarely blows up the furnace.
recipe_005,pill_005,炼气精元丹,Qi-Refining Essence Pill,herb_041:2|herb_045:1,40,0.65,exp,70,0.15,炼气期高阶丹，涨修为效果显著，但炼制风险也高。,"An advanced Qi-Refining pill. Strong exp gain, higher risk."
recipe_006,pill_006,延寿草丹,Lifespan Grass Pill,herb_006:3,6,0.85,lifespan,1,0.05,路边野菇炖的丹，据说能多活一天，但没人验证过。,"Made from Roadside Wild Mushroom. Said to add one day of life, unverified."
recipe_007,pill_007,固元丹,Vital Root Pill,herb_010:2|herb_013:1,12,0.80,lifespan,3,0.08,安神花配醒脾果，吃完心情和寿元都好一点。,Calm Spirit Flower and Appetite Fruit. Improves mood and lifespan slightly.
recipe_008,pill_008,武者续命丹,Warrior's Lifeline Pill,herb_015:2|herb_024:1,20,0.75,lifespan,5,0.10,武者常备保命丹，关键时刻能多撑几口气。,A Warrior's staple. Buys a few extra breaths in a pinch.
recipe_009,pill_009,先天养元丹,Innate Nourishing Pill,herb_027:2|herb_035:1,35,0.70,lifespan,8,0.12,先天期养寿丹，长期吃据说脸色会变好。,An Innate-stage longevity pill. Reportedly improves complexion over time.
recipe_010,pill_010,九转回元丹,Nine-Turn Origin Pill,herb_039:2|herb_044:1,50,0.60,lifespan,15,0.18,炼气期延寿丹，效果不错，但炼制时炉子容易抖。,A solid Qi-Refining lifespan pill. The furnace tends to shake while brewing.
recipe_011,pill_011,安神丹,Calm Spirit Pill,herb_003:2,5,0.90,mood,10,0.05,清心叶炖的小丹，喝完情绪稳定，适合摸鱼。,"Brewed from Clearheart Leaf. Calms the mood, great for slacking off."
recipe_012,pill_012,开心果丹,Happy Fruit Pill,herb_009:2,8,0.85,mood,15,0.06,打嗝果做的丹，吃完会突然很开心，也会突然打嗝。,Made from Hiccup Fruit. Causes sudden joy and sudden hiccups.
recipe_013,pill_013,解压丹,Stress Relief Pill,herb_018:2|herb_021:1,14,0.80,mood,20,0.08,武者专用解压丹，据说比躺平更有效。,A Warrior's stress relief pill. Reportedly more effective than doing nothing.
