ID,TextZh,TextEn
intro_reinc_001,第{life}世。\n{name}又醒了。\n好消息：还能重来。\n坏消息：又要从头练。,Life {life}.\n{name} wakes up again.\nGood news: another chance.\nBad news: training starts from zero again.
intro_reinc_002,上一世失败了。\n这一世也未必成功。\n不过至少还有机会。,Last life failed.\nThis one might fail too.\nBut at least there is another chance.
intro_reinc_003,轮回这件事。\n说起来很玄幻。\n活起来很真实。,Reincarnation sounds mystical.\nLiving through it feels very practical.
intro_reinc_004,{name}总觉得哪里不对。\n像是做过这套新手教程。\n很多次。,{name} feels something is off.\nLike this tutorial has been done before.\nMany times.
intro_reinc_005,这不是结束。\n只是读档点比较远。,This is not the end.\nThe save point is just very far back.
intro_reinc_006,第{life}世开局。\n修为归零。\n记忆模糊。\n摆烂本能完整保留。,Life {life} begins.\nCultivation reset.\nMemories blurred.\nSlacking instincts fully retained.
intro_reinc_007,上一世的遗憾还没散。\n{name}已经开始想午饭吃什么。,The regrets of the last life haven't faded.\n{name} is already thinking about lunch.
intro_reinc_008,有人轮回是为了变强。\n{name}轮回后第一反应：\n我存档了吗？,Some reincarnate to grow stronger.\n{name}'s first reaction:\nDid I save?
intro_reinc_009,天道又给{name}发了一张新牌。\n牌面依旧朴素。\n但这次手感熟一点。,Heaven dealt {name} a new hand.\nStill modest.\nBut it feels slightly familiar this time.
intro_reinc_010,前世的坑还在。\n这一世的脚已经抬起来了。,The pit from last life remains.\nThis life's foot is already moving toward it.
intro_reinc_011,{name}隐约记得。\n有些丹不能乱吃。\n但具体是哪颗，忘了。,{name} vaguely remembers some pills should not be eaten casually.\nWhich pills exactly? Forgotten.
intro_reinc_012,上一世死因不重要。\n重要的是：\n这次能不能死得晚一点。,The last cause of death is not the point.\nThe point is:\ncan death arrive later this time?
intro_reinc_013,轮回没有说明书。\n{name}只有一点经验：\n看到雷，先躲。,"Reincarnation has no manual.\n{name} has one lesson:\nif you see lightning, dodge."
intro_reinc_014,第{life}世。\n{name}决定认真修炼。\n这句话上一世也说过。,Life {life}.\n{name} decides to train seriously.\nThis was also said last life.
intro_reinc_015,天道很公平。\n每次都让{name}从头开始。\n公平得有点过分。,Heaven is fair.\nIt makes {name} restart every time.\nA little too fair.
intro_reinc_016,前世的经验告诉{name}：\n突破前要冷静。\n死亡前也要。\n虽然通常来不及。,Past experience tells {name}:\nstay calm before breakthroughs.\nAlso before death.\nThough there is rarely enough time.
intro_reinc_017,上一世留下了什么？\n一点感悟。\n一点遗憾。\n和很多黑历史。,What did the last life leave behind?\nA little insight.\nA little regret.\nAnd a lot of embarrassing history.
intro_reinc_018,{name}感觉自己变强了一点。\n也可能只是变熟练了。\n熟练地重开。,{name} feels slightly stronger.\nOr maybe just more practiced.\nPracticed at restarting.
intro_reinc_019,轮回路漫漫。\n{name}才刚刚继续。\n第一步：不要马上倒下。,The reincarnation road is long.\n{name} continues.\nStep one: don't fall immediately.
intro_reinc_020,有人千百世只为飞升。\n{name}这一世目标朴素：\n先别被鹅追杀。,Some spend countless lives seeking ascension.\n{name}'s goal this life is simple:\navoid goose-related incidents.
intro_reinc_021,上一世的失败没有白费。\n至少{name}知道：\n炸炉声音很大。,Last life's failure was not wasted.\nAt least {name} knows:\nfurnace explosions are loud.
intro_reinc_022,{name}望着天空。\n天空还是没说话。\n但{name}觉得它在装。,{name} looked at the sky.\nThe sky still said nothing.\n{name} suspects it is pretending.
intro_reinc_023,第{life}世开始前。\n{name}做了个决定：\n这次低调一点。\n除非突破成功。,"Before life {life}, {name} made a decision:\nstay low-profile this time.\nUnless the breakthrough succeeds."
