id,realm,zh,en
rumor_001,,听说邻村有人炼丹炸穿了房顶。,Word is someone in the next village blew the roof off making pills.
rumor_002,,据说山中野兽最近变得格外凶猛。,Beasts in the mountains have apparently grown unusually fierce lately.
rumor_003,武者,有传言说近期会有渡劫的异动。,Rumor has it there has been strange tribulation activity nearby.
rumor_004,,听说集市的灵石价格又涨了。,Word is spirit stone prices at the market rose again.
rumor_005,,有人说后山的妖兽精变成了人形。,Some say a beast spirit in the back mountains has taken human form.
rumor_006,凡人,村里来了个走方的郎中，专治走火入魔。,"A traveling doctor came through town, specializing in qi deviation."
rumor_007,,据说东边山谷里藏着一座废弃的丹炉。,Rumor has it there's an abandoned alchemy furnace hidden in the eastern valley.
rumor_008,先天,听说某位先天高人闭关三年终于出关了。,Word is an Innate-realm elder finally emerged after three years of seclusion.
rumor_009,,镖局的人说最近山道上不太太平。,The escort guild says the mountain roads haven't been safe lately.
rumor_010,,有人在井里捞到了一块发光的石头。,Someone fished a glowing stone out of the village well.
rumor_011,武者,据说武馆最近收了个天赋异禀的新弟子。,Word is the martial hall just took in a disciple with unusual talent.
rumor_012,,听说镇上的丹药铺老板悄悄涨价了。,Word is the pill shop owner in town quietly raised prices again.
rumor_013,炼气,炼气期的修士据说已经能听懂鸟语了。,Qi Refining cultivators are said to be able to understand birdsong now.
rumor_014,,有人说月圆之夜山里会传出奇怪的声音。,Some say strange sounds echo from the mountains on full moon nights.
rumor_015,,据说隔壁镖局丢了一批灵石，至今没找到。,"Word is the escort guild next door lost a shipment of spirit stones, still missing."
