id,chain_id,step,next_id,realm,title_zh,title_en,desc_zh,desc_en,mood,cultivation_gain,stone_gain,weight
report_001,,1,,,捡到灵石,Found a Spirit Stone,路上踢到一块石头竟是灵石,Kicked a rock on the road — turned out to be a spirit stone,happy,0,5,10
report_002,,1,,,邻居送菜,Neighbor's Greens,隔壁阿婆送来一篮青菜,The granny next door brought a basket of greens,happy,10,0,10
report_003,,1,,武者,二狗炫耀,Ergou Brags,二狗又来炫耀他突破了,Ergou came by to brag about his breakthrough again,confused,0,0,8
report_004,,1,,,下雨闭关,Rainy Seclusion,下雨天关在屋里修炼格外安静,A rainy day made for quiet indoor cultivation,meditate,15,0,9
report_005,,1,,,灵田丰收,Spirit Field Harvest,自家灵田的灵米熟了,The spirit rice in your field has ripened,happy,0,8,8
report_006,,1,,,偷得浮生半日闲,An Idle Afternoon,难得偷懒晒了半天太阳,A rare lazy afternoon spent in the sun,happy,5,0,10
report_007,,1,,武者,炼丹小成,Alchemy Progress,今天炼出的丹药居然是圆的,Today's pill actually came out round,alchemy,0,3,9
report_008,,1,,,夜观星象,Stargazing,夜里看星星看出了点感悟,Gained a little insight stargazing at night,meditate,12,0,9
report_009,,1,,武者,灵兽来访,Spirit Beast Visit,一只小灵狐在门口蹭吃蹭喝,A little spirit fox came mooching at the door,happy,0,2,8
report_010,,1,,武者,旧友来信,A Letter from an Old Friend,收到一封多年未见的同门来信,Got a letter from an old fellow disciple,normal,8,0,7
report_011,,1,,,跌了一跤,Took a Tumble,赶路时摔了一跤悟了点平衡,Tripped on the road and learned some balance,confused,6,0,9
report_012,,1,,,赶集,Market Day,下山赶集买了点日用,Went down to the market for supplies,normal,0,4,8
report_013,,1,,,月下独酌,Drinking Alone Under the Moon,对着月亮喝了壶小酒,Had a jug of wine under the moon,happy,10,0,8
report_014,,1,,,误食灵果,Ate a Spirit Fruit,随手吃了个野果竟是灵果,Casually ate a wild fruit — it was a spirit fruit,happy,20,0,7
report_015,,1,,,帮人挑水,Helped Carry Water,帮村里老人挑了一天水,Spent the day carrying water for an elder,happy,8,2,8
report_016,,1,,先天,丹成异象,Pill Omen,丹成时屋里飘起了淡淡金光,A faint golden glow filled the room as the pill formed,alchemy,0,10,6
report_017,,1,,武者,力大无穷,Mighty Strength,一拳把练功的石碑打裂了,Cracked the training stele with one punch,happy,18,0,7
report_018,,1,,,灵气复苏,Qi Resurgence,今早天地灵气格外充沛,The world's qi felt unusually abundant this morning,meditate,16,0,8
report_019,,1,,武者,打扫洞府,Tidying the Cave,花了一天把洞府收拾干净,Spent a day tidying up the cave dwelling,normal,4,0,9
report_020,,1,,,收徒未遂,Failed to Take a Student,想收个徒弟结果被嫌弃太菜,Tried to take a student but was deemed too weak,confused,0,0,7
report_021,oldman,1,report_022,,遇见神秘老人,Met a Mysterious Old Man,一位老人坐在路边说与你有缘,An old man by the road said you share a fate,normal,5,0,6
report_022,oldman,2,report_023,,老人考验,The Old Man's Test,老人让你帮他挑了三天柴,The old man had you chop wood for three days,confused,0,0,6
